朝向,楼层,成交,单价,成交价,税费,区县,区域,装修,电梯,小区,布局,面积
东 南,高楼层(共18层) 1997年建塔楼,2018.11.02,101627,750,挂牌800万,东城,安定门,简装,有电梯,青年湖北街,2室1厅,73.8
东 南,顶层(共18层) 1988年建塔楼,2018.11,,,房屋满两年,东城,安定门,其他,有电梯,青年湖东里,1室1厅,50
东 东南 南 东北,中楼层(共19层) 2001年建塔楼,2018.11,,,近地铁,东城,安定门,其他,有电梯,凯景铭座,4室1厅,179.5
暂无数据,中楼层(共16层) 1992年建塔楼,2018.11,,,,东城,安定门,其他,有电梯,,,
暂无数据,底层(共18层) 1999年建塔楼,2018.11,,,近地铁,东城,安定门,其他,有电梯,,,
南 北,低楼层(共6层) 1988年建板楼,2018.11,,,,东城,安定门,其他,无电梯,安外大街3号院,4室0厅,68.05
东 北,高楼层(共18层) 1988年建塔楼,2018.11,,,近地铁,东城,安定门,其他,有电梯,青年湖东里,1室2厅,67
东 西,顶层(共6层) 1995年建板楼,2018.11,,,房屋满两年,东城,安定门,其他,无电梯,安德路47号院,2室1厅,59.23
东 南 北,中楼层(共21层) 2008年建板楼,2018.11,,,近地铁,东城,安定门,其他,有电梯,中轴国际,4室3厅,483.13
暂无数据,顶层(共6层) 1985年建板楼,2018.11,,,近地铁,东城,安定门,其他,无电梯,,,
东 南 北,低楼层(共19层) 2006年建塔楼,2018.11,,,近地铁,东城,安定门,其他,有电梯,西营房,3室1厅,102.47
西北,底层(共18层) 1999年建塔楼,2018.11,,,房屋满五年,东城,安定门,精装,有电梯,青年湖北里,2室1厅,78.48
南,中楼层(共6层) 1983年建板楼,2018.11,,,房屋满五年,东城,安定门,简装,无电梯,,,
东 西,高楼层(共12层) 1989年建板楼,2018.10.31,105027,700,房屋满五年,东城,安定门,精装,有电梯,安德路乙61号院,2室1厅,66.65
南,中楼层(共18层) 1988年建塔楼,2018.10.30,85246,598,房屋满五年,东城,安定门,简装,有电梯,上龙西里,2室1厅,70.15
西,中楼层(共7层) 2002年建板楼,2018.10.29,129519,602,近地铁,东城,安定门,其他,无电梯,永康胡同1号院,1室1厅,46.48
南 北,高楼层(共17层) 2006年建塔楼,2018.10.26,88085,720,房屋满五年,东城,安定门,简装,有电梯,西营房,2室1厅,81.74
西,中楼层(共7层) 2002年建板楼,2018.10.24,121628,595,房屋满五年,东城,安定门,简装,无电梯,永康胡同1号院,1室1厅,48.92
南,低楼层(共11层) 2001年建板楼,2018.10.18,107110,580,房屋满两年,东城,安定门,简装,有电梯,车辇店胡同,1室1厅,54.15
东南 西 北,中楼层(共18层) 1993年建塔楼,2018.10.16,109358,880,房屋满五年,东城,安定门,简装,有电梯,上龙西里,3室1厅,80.47
