朝向,楼层,成交,单价,成交价,税费,区县,区域,装修,电梯,小区,布局,面积
暂无数据,顶层(共14层) 1989年建板塔结合,2016.02,,,,东城,安贞,其他,有电梯,,,
暂无数据,低楼层(共20层) 塔楼,2016.02,,,,东城,安贞,其他,有电梯,,,
暂无数据,底层(共6层) 1987年建板楼,2016.02,,,近地铁,东城,安贞,其他,无电梯,,,
暂无数据,底层(共16层) 1997年建板塔结合,2016.02,,,,东城,安贞,其他,有电梯,,,
暂无数据,中楼层(共6层) 1985年建板楼,2016.02,,,,东城,安贞,其他,无电梯,,,
南,未知(共6层) 1982年建板楼,2016.02,,,,东城,安贞,其他,无电梯,,,
南 北,底层(共6层) 1996年建板楼,2016.02,,,房屋满五年,东城,安贞,其他,无电梯,,,
暂无数据,中楼层(共5层) 1986年建板楼,2016.02,,,近地铁,东城,安贞,其他,无电梯,,,
暂无数据,中楼层(共18层) 1987年建塔楼,2016.02,,,,东城,安贞,其他,有电梯,,,
南 西 北,中楼层(共20层) 1993年建塔楼,2016.02,,,房屋满五年,东城,安贞,精装,有电梯,安定路,3室1厅,88.24
南 北,中楼层(共6层) 1986年建板楼,2016.02,,,房屋满五年,东城,安贞,简装,无电梯,安贞西里,3室1厅,80
南 北,高楼层(共6层) 2000年建板楼,2016.02,,,房屋满五年,东城,安贞,精装,无电梯,安贞苑50号院,2室1厅,89.55
暂无数据,顶层(共14层) 1986年建板塔结合,2016.02,,,近地铁,东城,安贞,其他,有电梯,,,
暂无数据,高楼层(共16层) 1986年建塔楼,2016.02,,,,东城,安贞,其他,有电梯,,,
南 北,顶层(共6层) 1984年建板楼,2016.02,,,房屋满五年,东城,安贞,精装,无电梯,安贞里,2室1厅,54.21
东 西,底层(共6层) 1984年建板楼,2016.02,,,近地铁,东城,安贞,其他,无电梯,,,
南,顶层(共6层) 1980年建板楼,2016.02,,,房屋满五年,东城,安贞,简装,无电梯,小黄庄,1室0厅,35.81
西,低楼层(共16层) 2002年建板塔结合,2016.02,,,房屋满五年,东城,安贞,简装,有电梯,豪威家园,2室1厅,118
南 北,顶层(共6层) 1996年建板楼,2016.02,,,房屋满五年,东城,安贞,精装,无电梯,安贞苑50号院,1室1厅,49
南 北,高楼层(共21层) 板塔结合,2016.02,,,房屋满五年,东城,安贞,简装,有电梯,小黄庄一区,3室1厅,90
南,高楼层(共18层) 1996年建塔楼,2016.02,,,房屋满五年,东城,安贞,简装,有电梯,,,
南,中楼层(共5层) 1976年建板楼,2016.02,,,房屋满五年,东城,安贞,简装,无电梯,小黄庄前街3号院,2室1厅,53.67
南,中楼层(共18层) 1993年建塔楼,2016.02,,,房屋满五年,东城,安贞,精装,有电梯,安华里社区,2室1厅,61.31
南 北,中楼层(共6层) 1984年建板楼,2016.02,,,,东城,安贞,精装,无电梯,安贞西里,2室1厅,64
南,低楼层(共17层) 1990年建塔楼,2016.02,,,房屋满两年,东城,安贞,精装,有电梯,安贞里,2室1厅,70.66
东,高楼层(共14层) 1991年建板塔结合,2016.02,,,房屋满五年,东城,安贞,其他,有电梯,安华里社区,1室1厅,44.4
南 北,中楼层(共16层) 1986年建板楼,2016.02,,,房屋满两年,东城,安贞,简装,有电梯,安华西里社区,3室1厅,75
东 西,底层(共6层) 1987年建板楼,2016.02,,,房屋满五年,东城,安贞,精装,无电梯,安贞西里,2室1厅,55.65
东 西,中楼层(共14层) 1992年建板塔结合,2016.02,,,房屋满五年,东城,安贞,简装,有电梯,安华里社区,2室1厅,61.51
西,顶层(共11层) 1990年建板塔结合,2016.02,,,房屋满两年,东城,安贞,精装,有电梯,安华西里社区,1室1厅,49.11
南 北,低楼层(共13层) 1988年建板塔结合,2016.02,,,房屋满五年,东城,安贞,其他,有电梯,安华里社区,2室1厅,58.89
东 西,高楼层(共14层) 1992年建板塔结合,2016.02,,,房屋满五年,东城,安贞,简装,有电梯,安华里社区,3室1厅,72.32
南,底层(共16层) 1987年建板楼,2016.02,,,房屋满五年,东城,安贞,精装,有电梯,安华西里社区,1室1厅,39.06
南,低楼层(共16层) 1987年建板楼,2016.02.01,49272,324.5,房屋满五年,东城,安贞,简装,有电梯,安华西里社区,2室1厅,65.86
东,高楼层(共16层) 1994年建塔楼,2016.02,,,房屋满两年,东城,安贞,简装,有电梯,安外大街,2室1厅,65.71
西南,高楼层(共18层) 1996年建塔楼,2016.02,,,房屋满五年,东城,安贞,简装,有电梯,安定路,1室1厅,50
西 北,中楼层(共17层) 1985年建塔楼,2016.01.31,49874,295,房屋满五年,东城,安贞,精装,有电梯,安贞里,2室1厅,59.15
南 北,低楼层(共18层) 1993年建塔楼,2016.01.31,53825,330,房屋满五年,东城,安贞,简装,有电梯,安华里社区,2室1厅,61.31
南 北,顶层(共6层) 1987年建板楼,2016.01.31,43257,263,房屋满五年,东城,安贞,精装,无电梯,安贞西里,2室1厅,60.8
南,低楼层(共16层) 1987年建板楼,2016.01.31,49989,215,房屋满五年,东城,安贞,简装,有电梯,安华西里社区,1室1厅,43.01
东,低楼层(共14层) 1987年建板塔结合,2016.01.31,46989,298,房屋满五年,东城,安贞,精装,有电梯,安贞西里,2室1厅,63.42
东,底层(共16层) 1985年建塔楼,2016.01.31,51333,260,房屋满五年,东城,安贞,精装,有电梯,安华里社区,2室1厅,50.65
南 西,高楼层(共6层) 1999年建板楼,2016.01.30,43122,268,房屋满两年,东城,安贞,精装,无电梯,安华里社区,2室2厅,62.15
南 北,顶层(共6层) 1985年建板楼,2016.01.30,45931,263,房屋满五年,东城,安贞,精装,无电梯,安华西里社区,2室1厅,57.26
东 西,中楼层(共14层) 1989年建板塔结合,2016.01.30,43599,348,房屋满五年,东城,安贞,精装,有电梯,安贞里,3室1厅,79.82
东 西,底层(共5层) 1988年建板楼,2016.01.30,47832,322,房屋满五年,东城,安贞,精装,无电梯,安贞西里,3室1厅,67.32
南 北,中楼层(共13层) 1988年建板塔结合,2016.01.29,50903,296,房屋满五年,东城,安贞,简装,有电梯,安华里社区,2室1厅,58.15
东,顶层(共6层) 1985年建板楼,2016.01.29,46156,194.5,房屋满五年,东城,安贞,精装,无电梯,安贞西里,1室1厅,42.14
南 北,中楼层(共6层) 1981年建板楼,2016.01.29,53872,263,房屋满两年,东城,安贞,精装,无电梯,外馆西街,2室0厅,48.82
南,高楼层(共17层) 1990年建塔楼,2016.01.29,52582,390,房屋满五年,东城,安贞,精装,有电梯,安贞里,2室1厅,74.17
南 北,低楼层(共7层) 1996年建板楼,2016.01.29,46048,339,房屋满五年,东城,安贞,精装,无电梯,小黄庄前街,2室1厅,73.62
东 西,顶层(共6层) 1999年建板楼,2016.01.29,47894,341,房屋满五年,东城,安贞,精装,无电梯,安华里社区,2室1厅,71.2
南,顶层(共6层) 1986年建板楼,2016.01.29,49976,202,房屋满五年,东城,安贞,简装,无电梯,安贞西里,1室1厅,40.42
南 北,底层(共6层) 1981年建板楼,2016.01.27,22557,120,房屋满五年,东城,安贞,精装,无电梯,,,
东,低楼层(共16层) 1994年建塔楼,2016.01.27,55520,260,房屋满五年,东城,安贞,简装,有电梯,,,
南 北,高楼层(共6层) 1993年建板楼,2016.01.27,48711,270,房屋满五年,东城,安贞,简装,无电梯,皇姑坟小区,2室1厅,55.43
南 北,中楼层(共16层) 1988年建板塔结合,2016.01.27,55986,420,房屋满五年,东城,安贞,其他,有电梯,安华西里社区,3室1厅,75.02
东 南,低楼层(共17层) 1990年建塔楼,2016.01.26,45324,315,房屋满五年,东城,安贞,简装,有电梯,安贞里,2室1厅,69.5
南,顶层(共6层) 1984年建板楼,2016.01.26,51949,220,房屋满五年,东城,安贞,精装,无电梯,安贞里,1室1厅,42.35
南 北,高楼层(共6层) 1986年建板楼,2016.01.25,50759,291,房屋满五年,东城,安贞,精装,无电梯,安贞西里,2室1厅,57.33
南 北,高楼层(共6层) 1996年建板楼,2016.01.25,64191,420,房屋满五年,东城,安贞,精装,无电梯,安贞苑50号院,2室1厅,65.43
南,高楼层(共16层) 1986年建板塔结合,2016.01.25,52235,249,房屋满两年,东城,安贞,精装,有电梯,安贞西里,1室1厅,47.67
南,高楼层(共18层) 1997年建塔楼,2016.01.24,57860,632,房屋满五年,东城,安贞,精装,有电梯,富仁名苑,2室1厅,109.23
东,中楼层(共21层) 1989年建塔楼,2016.01.24,51589,255,房屋满五年,东城,安贞,简装,有电梯,安华西里社区,2室1厅,49.43
东 西,中楼层(共14层) 1986年建板塔结合,2016.01.24,50042,360,房屋满五年,东城,安贞,精装,有电梯,安贞西里,3室1厅,71.94
南 北,顶层(共6层) 1985年建板楼,2016.01.24,47146,270,房屋满两年,东城,安贞,精装,无电梯,安华西里社区,2室1厅,57.27
南 北,顶层(共6层) 1984年建板楼,2016.01.24,55020,405,房屋满五年,东城,安贞,精装,无电梯,,,
南 北,地下室(共6层) 1993年建板楼,2016.01.24,29283,160,房屋满五年,东城,安贞,简装,无电梯,小黄庄前街2号院,2室1厅,54.64
南 北,顶层(共6层) 1985年建板楼,2016.01.24,47146,270,房屋满两年,东城,安贞,精装,无电梯,安华西里社区,2室1厅,57.27
南 北,顶层(共6层) 1984年建板楼,2016.01.24,55020,405,房屋满五年,东城,安贞,精装,无电梯,,,
南 北,高楼层(共6层) 1987年建板楼,2016.01.23,54029,289,房屋满五年,东城,安贞,精装,无电梯,,,
南 北,高楼层(共6层) 1992年建板楼,2016.01.23,47074,345,房屋满五年,东城,安贞,精装,无电梯,皇姑坟小区,3室1厅,73.29
东 西,中楼层(共14层) 1991年建板塔结合,2016.01.23,44949,282.5,房屋满五年,东城,安贞,精装,有电梯,安华里社区,2室1厅,62.85
南 北,高楼层(共21层) 1990年建塔楼,2016.01.23,55430,488,房屋满五年,东城,安贞,精装,有电梯,安华西里社区,3室1厅,88.04
南 北,高楼层(共6层) 1986年建板楼,2016.01.22,49551,281,房屋满五年,东城,安贞,简装,无电梯,安贞西里,2室1厅,56.71
南,低楼层(共18层) 1988年建塔楼,2016.01.20,55134,254,房屋满五年,东城,安贞,精装,有电梯,安华里社区,1室1厅,46.07
南 北,中楼层(共6层) 1980年建板楼,2016.01.19,47538,180.5,房屋满五年,东城,安贞,简装,无电梯,小黄庄前街3号院,1室1厅,37.97
南 北,中楼层(共13层) 1988年建板塔结合,2016.01.18,46061,266,房屋满五年,东城,安贞,简装,有电梯,安华里社区,2室1厅,57.75
东,低楼层(共21层) 1990年建塔楼,2016.01.18,51251,252,房屋满五年,东城,安贞,简装,有电梯,安华西里社区,2室1厅,49.17
南 北,顶层(共6层) 1986年建板楼,2016.01.18,50252,370,房屋满五年,东城,安贞,精装,无电梯,安贞西里,3室1厅,73.63
南 北 东,高楼层(共16层) 1986年建板塔结合,2016.01.18,54450,350,房屋满五年,东城,安贞,精装,有电梯,安贞西里,2室1厅,64.28
东 北,高楼层(共17层) 1989年建塔楼,2016.01.17,46880,356,房屋满五年,东城,安贞,精装,有电梯,安贞里,3室1厅,75.94
南,低楼层(共16层) 1984年建塔楼,2016.01.17,53569,310,房屋满五年,东城,安贞,其他,有电梯,安贞西里,2室1厅,57.87
南,高楼层(共6层) 1987年建板楼,2016.01.17,51912,220,房屋满五年,东城,安贞,精装,无电梯,安贞里,1室1厅,42.38
西 北,顶层(共17层) 1990年建塔楼,2016.01.17,45647,270,房屋满五年,东城,安贞,精装,有电梯,安贞里,2室1厅,59.15
东 西,中楼层(共6层) 1987年建板楼,2016.01.17,45006,255,房屋满五年,东城,安贞,精装,无电梯,安贞西里,2室1厅,56.66
东南,中楼层(共13层) 1988年建板塔结合,2016.01.17,40150,241.5,房屋满五年,东城,安贞,简装,有电梯,安华里社区,3室1厅,60.15
南 北,高楼层(共6层) 1986年建板楼,2016.01.17,48846,277,房屋满五年,东城,安贞,简装,无电梯,安贞西里,2室1厅,56.71
北,低楼层(共16层) 1986年建塔楼,2016.01.17,42129,163.5,房屋满五年,东城,安贞,精装,有电梯,安贞西里,1室1厅,38.81
北,中楼层(共16层) 1986年建塔楼,2016.01.16,47118,179,房屋满两年,东城,安贞,简装,有电梯,安贞西里,1室1厅,37.99
南,中楼层(共17层) 2004年建板塔结合,2016.01.16,59848,825,挂牌825万,东城,安贞,简装,有电梯,国典华园,2室1厅,137.85
西南,中楼层(共24层) 1986年建塔楼,2016.01.16,52179,342.5,近地铁,东城,安贞,简装,有电梯,安贞西里,2室2厅,65.64
东,高楼层(共21层) 1989年建塔楼,2016.01.16,51176,259,房屋满两年,东城,安贞,精装,有电梯,安华西里社区,2室1厅,50.61
南,低楼层(共21层) 1990年建塔楼,2016.01.15,51373,252.6,房屋满五年,东城,安贞,其他,有电梯,安华西里社区,2室1厅,49.17
南 北,顶层(共6层) 1987年建板楼,2016.01.15,44382,252,房屋满五年,东城,安贞,其他,无电梯,安华里社区,2室1厅,56.78
南 西,中楼层(共18层) 1987年建塔楼,2016.01.15,39349,285,房屋满五年,东城,安贞,精装,有电梯,,,
南 北,中楼层(共12层) 1996年建板塔结合,2016.01.15,63851,455,房屋满五年,东城,安贞,精装,有电梯,小黄庄二区,3室1厅,71.26
东 西,低楼层(共6层) 1990年建板楼,2016.01.14,48597,277,房屋满五年,东城,安贞,精装,无电梯,安华西里二区,2室1厅,57
东 西,低楼层(共6层) 1990年建板楼,2016.01.14,48597,277,房屋满五年,东城,安贞,精装,无电梯,安华西里二区,2室1厅,57
南 北,中楼层(共7层) 1992年建板楼,2016.01.13,46564,294,房屋满五年,东城,安贞,精装,无电梯,安华里社区,2室1厅,63.14
南,中楼层(共16层) 1985年建塔楼,2016.01.13,47802,350,房屋满五年,东城,安贞,精装,有电梯,安华里社区,2室1厅,73.22
南 北,高楼层(共6层) 1984年建板楼,2016.01.13,51648,315,房屋满五年,东城,安贞,简装,无电梯,安贞西里,2室1厅,60.99
南,高楼层(共16层) 1986年建塔楼,2016.01.12,53095,303.7,房屋满五年,东城,安贞,其他,有电梯,安贞西里,2室1厅,57.2
东,中楼层(共16层) 1997年建塔楼,2016.01.12,52632,330,挂牌340万,东城,安贞,其他,有电梯,富仁名苑,1室1厅,62.7
南,顶层(共16层) 1986年建板塔结合,2016.01.11,51158,236.5,房屋满五年,东城,安贞,其他,有电梯,安贞西里,1室1厅,46.23
南 北,低楼层(共13层) 板塔结合,2016.01.11,62448,595,房屋满五年,东城,安贞,简装,有电梯,小黄庄一区,2室1厅,95.28
南 西,高楼层(共20层) 1989年建塔楼,2016.01.11,51767,296,房屋满五年,东城,安贞,简装,有电梯,青年沟23号院,2室1厅,57.18
南,低楼层(共21层) 1990年建板塔结合,2016.01.10,62783,459,房屋满五年,东城,安贞,精装,有电梯,小黄庄一区,2室1厅,73.11
东南,中楼层(共14层) 1994年建板塔结合,2016.01.10,42858,270,房屋满五年,东城,安贞,简装,有电梯,安华里社区,2室1厅,63
南,高楼层(共17层) 1986年建塔楼,2016.01.10,51165,380,房屋满五年,东城,安贞,毛坯,有电梯,安贞里,2室0厅,74.27
东 西,低楼层(共12层) 1980年建板塔结合,2016.01.10,47607,354,房屋满五年,东城,安贞,毛坯,有电梯,安华西里社区,3室1厅,74.36
南 北,顶层(共6层) 1986年建板楼,2016.01.10,44407,258,房屋满五年,东城,安贞,简装,无电梯,小黄庄前街13号院,2室1厅,58.1
南 北,中楼层(共6层) 1984年建板楼,2016.01.09,50876,215,近地铁,东城,安贞,其他,无电梯,安贞西里,1室1厅,42.26
南 北,中楼层(共6层) 1986年建板楼,2016.01.09,50101,273,房屋满五年,东城,安贞,简装,无电梯,安贞里,2室1厅,54.49
东,高楼层(共16层) 2002年建板塔结合,2016.01.09,46688,685,房屋满五年,东城,安贞,精装,有电梯,豪威家园,3室1厅,146.72
东,低楼层(共14层) 1991年建板塔结合,2016.01.09,42665,187,房屋满两年,东城,安贞,简装,有电梯,安华里社区,1室1厅,43.83
西 北,中楼层(共16层) 1986年建塔楼,2016.01.09,50396,312,挂牌312万,东城,安贞,精装,有电梯,安华里社区,2室1厅,61.91
南,底层(共16层) 1984年建塔楼,2016.01.08,39683,195,房屋满五年,东城,安贞,简装,有电梯,小黄庄前街13号院,1室1厅,49.14
南 北,底层(共6层) 1987年建板楼,2016.01.07,60347,317,房屋满五年,东城,安贞,精装,无电梯,安华里社区,2室1厅,52.53
东 西 北,顶层(共14层) 1994年建板塔结合,2016.01.07,44106,346.8,挂牌350万,东城,安贞,简装,有电梯,安华里社区,3室1厅,78.63
东 西,顶层(共16层) 1994年建塔楼,2016.01.07,51036,239,房屋满两年,东城,安贞,精装,有电梯,安外大街,1室1厅,46.83
南,低楼层(共21层) 板塔结合,2016.01.07,52640,360,房屋满五年,东城,安贞,精装,有电梯,小黄庄一区,2室1厅,68.39
东 西,低楼层(共14层) 1986年建板塔结合,2016.01.06,52544,378,房屋满两年,东城,安贞,精装,有电梯,安贞西里,3室1厅,71.94
东 南 北,顶层(共6层) 1987年建板楼,2016.01.06,43590,357,房屋满两年,东城,安贞,简装,无电梯,安贞西里,3室1厅,81.9
南,中楼层(共17层) 1988年建塔楼,2016.01.06,48706,365,房屋满五年,东城,安贞,简装,有电梯,安贞里,2室1厅,74.94
南,底层(共6层) 1987年建板楼,2016.01.05,55029,209,房屋满五年,东城,安贞,简装,无电梯,安华里社区,1室1厅,37.98
东南,顶层(共18层) 2000年建塔楼,2016.01.05,50834,488,房屋满五年,东城,安贞,简装,有电梯,安圣苑,2室1厅,96
南 北,低楼层(共16层) 1986年建板塔结合,2016.01.05,47230,381,房屋满五年,东城,安贞,精装,有电梯,安贞西里,3室1厅,80.67
南 西,顶层(共18层) 1989年建塔楼,2016.01.04,55035,440,房屋满五年,东城,安贞,简装,有电梯,安贞里,3室1厅,79.95
南 北,顶层(共6层) 1986年建板楼,2016.01.04,44039,253,房屋满五年,东城,安贞,精装,无电梯,小黄庄前街3号院,2室1厅,57.45
东 西,低楼层(共6层) 1987年建板楼,2016.01.04,45981,266,房屋满五年,东城,安贞,精装,无电梯,安华里社区,2室1厅,57.85
东 西,顶层(共6层) 1986年建板楼,2016.01.04,44656,320,房屋满五年,东城,安贞,其他,无电梯,安贞西里,3室1厅,71.66
南 北,底层(共6层) 1984年建板楼,2016.01.04,59394,319,房屋满五年,东城,安贞,简装,无电梯,安贞西里,2室1厅,53.71
南,低楼层(共16层) 1986年建塔楼,2016.01.03,53165,310,房屋满五年,东城,安贞,精装,有电梯,安贞西里,2室1厅,58.31
东 南 西,顶层(共6层) 1993年建板楼,2016.01.03,41696,238,房屋满五年,东城,安贞,精装,无电梯,兴化路2号院,2室1厅,57.08
南,高楼层(共16层) 1987年建塔楼,2016.01.03,51254,294.5,房屋满五年,东城,安贞,精装,有电梯,安贞西里,2室1厅,57.46
南 北,顶层(共6层) 1998年建板楼,2016.01.03,46295,250.5,房屋满五年,东城,安贞,精装,无电梯,安贞里,2室1厅,54.11
南 北,高楼层(共6层) 1987年建板楼,2016.01.02,46512,262,房屋满五年,东城,安贞,简装,无电梯,安华里社区,2室1厅,56.33
南 西,底层(共17层) 1990年建塔楼,2016.01.02,50923,450,近地铁,东城,安贞,精装,有电梯,安贞里,3室1厅,88.37
南 北,高楼层(共18层) 1993年建塔楼,2016.01,,,房屋满五年,东城,安贞,简装,有电梯,,,
暂无数据,低楼层(共17层) 2005年建塔楼,2016.01,,,近地铁,东城,安贞,其他,有电梯,,,
东,低楼层(共16层) 1994年建板楼,2016.01.01,49114,230,房屋满五年,东城,安贞,简装,有电梯,,,
东 北,中楼层(共18层) 1996年建塔楼,2016.01,,,房屋满五年,东城,安贞,其他,有电梯,,,
南 西,低楼层(共20层) 1989年建塔楼,2016.01,,,房屋满五年,东城,安贞,简装,有电梯,,,
东 南 西 北,低楼层(共16层) 2002年建板塔结合,2016.01,,,房屋满五年,东城,安贞,简装,有电梯,,,
暂无数据,中楼层(共13层) 1988年建板塔结合,2016.01,,,,东城,安贞,其他,有电梯,,,
暂无数据,低楼层(共17层) 2005年建塔楼,2016.01,,,近地铁,东城,安贞,其他,有电梯,,,
暂无数据,中楼层(共17层) 塔楼,2016.01,,,,东城,安贞,其他,,,,
暂无数据,低楼层(共6层) 1987年建板楼,2016.01,,,,东城,安贞,其他,无电梯,,,
暂无数据,低楼层(共18层) 1993年建塔楼,2016.01,,,,东城,安贞,其他,有电梯,,,
暂无数据,低楼层(共6层) 1976年建板楼,2016.01,,,近地铁,东城,安贞,其他,无电梯,,,
暂无数据,中楼层(共6层) 1985年建板楼,2016.01,,,近地铁,东城,安贞,其他,无电梯,,,
暂无数据,底层(共6层) 1987年建板楼,2016.01,,,近地铁,东城,安贞,其他,无电梯,,,
暂无数据,底层(共6层) 1986年建板楼,2016.01,,,,东城,安贞,其他,无电梯,,,
暂无数据,低楼层(共6层) 1985年建板楼,2016.01,,,,东城,安贞,其他,无电梯,,,
暂无数据,中楼层(共18层) 1987年建塔楼,2016.01,,,,东城,安贞,其他,有电梯,,,
暂无数据,中楼层(共16层) 2002年建板塔结合,2016.01,,,,东城,安贞,其他,有电梯,,,
暂无数据,中楼层(共14层) 1996年建板楼,2016.01,,,近地铁,东城,安贞,其他,有电梯,,,
暂无数据,低楼层(共6层) 1988年建板楼,2016.01,,,,东城,安贞,其他,无电梯,,,
暂无数据,低楼层(共18层) 1990年建塔楼,2016.01,,,,东城,安贞,其他,有电梯,,,
南 北,高楼层(共6层) 1984年建板楼,2016.01,,,房屋满五年,东城,安贞,其他,无电梯,安华西里社区,2室1厅,58.12
南 北,低楼层(共6层) 1982年建板楼,2016.01,,,房屋满五年,东城,安贞,简装,无电梯,安华里社区,2室1厅,60
东 西,中楼层(共6层) 1987年建板楼,2016.01,,,房屋满五年,东城,安贞,精装,无电梯,安贞西里,2室1厅,56.66
南 北,顶层(共6层) 1996年建板楼,2016.01,,,房屋满五年,东城,安贞,精装,无电梯,安贞苑50号院,2室1厅,65.82
南,高楼层(共16层) 1987年建板楼,2016.01,,,房屋满五年,东城,安贞,简装,有电梯,安华西里社区,1室1厅,42.68
南 北,中楼层(共6层) 2000年建板楼,2016.01,,,房屋满五年,东城,安贞,简装,无电梯,安贞苑50号院,3室2厅,129.1
西 南,低楼层(共17层) 2005年建塔楼,2016.01,,,房屋满五年,东城,安贞,精装,有电梯,国典华园,2室2厅,104.02
南,高楼层(共18层) 1989年建塔楼,2016.01,,,房屋满五年,东城,安贞,简装,有电梯,安华里社区,2室1厅,60.16
西 南,高楼层(共11层) 1989年建板塔结合,2016.01,,,房屋满五年,东城,安贞,精装,有电梯,安华西里社区,2室1厅,64.23
南 北,高楼层(共6层) 1987年建板楼,2016.01,,,房屋满两年,东城,安贞,精装,无电梯,安华里社区,2室1厅,52
南 西,中楼层(共20层) 1989年建塔楼,2016.01,,,房屋满五年,东城,安贞,简装,有电梯,青年沟23号院,3室1厅,66.75
南 西 北,中楼层(共21层) 1999年建塔楼,2016.01,,,房屋满五年,东城,安贞,精装,有电梯,大龙公寓,2室1厅,89.69
东 西,中楼层(共6层) 1992年建板楼,2016.01,,,房屋满五年,东城,安贞,精装,无电梯,皇姑坟小区,2室1厅,66
南 西 北,中楼层(共18层) 1993年建塔楼,2016.01.01,50207,425,房屋满五年,东城,安贞,简装,有电梯,安华里社区,3室1厅,84.65
西南,低楼层(共18层) 1987年建塔楼,2016.01,,,房屋满五年,东城,安贞,简装,有电梯,安华里社区,3室1厅,72.81
南,底层(共6层) 1993年建板楼,2016.01,,,房屋满五年,东城,安贞,简装,无电梯,小黄庄前街2号院,1室1厅,45.46
东 西 北,低楼层(共14层) 1994年建板塔结合,2016.01,,,房屋满五年,东城,安贞,其他,有电梯,安华里社区,3室1厅,82.23
南 北,底层(共6层) 1987年建板楼,2016.01,,,房屋满五年,东城,安贞,简装,无电梯,安华里社区,3室1厅,65.58
南,低楼层(共17层) 2005年建塔楼,2016.01,,,房屋满五年,东城,安贞,精装,有电梯,国典华园,2室2厅,139.63
东,中楼层(共14层) 1992年建板塔结合,2016.01,,,房屋满两年,东城,安贞,简装,有电梯,安华里社区,2室1厅,67.26
南,中楼层(共16层) 1986年建塔楼,2016.01,,,房屋满五年,东城,安贞,简装,有电梯,安华里社区,2室1厅,68.44
南 北,高楼层(共16层) 1986年建板塔结合,2016.01,,,,东城,安贞,其他,有电梯,,,
南 北,中楼层(共6层) 1983年建板楼,2016.01,,,房屋满两年,东城,安贞,精装,无电梯,安华西里社区,2室1厅,56.88
东,中楼层(共20层) 塔楼,2016.01,,,房屋满五年,东城,安贞,精装,有电梯,安定路,2室1厅,50
东,高楼层(共6层) 1986年建板楼,2016.01,,,房屋满两年,东城,安贞,精装,无电梯,安华里社区,2室1厅,50
南,低楼层(共18层) 1987年建塔楼,2016.01,,,房屋满五年,东城,安贞,精装,有电梯,安华里社区,1室1厅,49.67
东 西,中楼层(共6层) 1990年建板楼,2016.01,,,近地铁,东城,安贞,其他,无电梯,,,
南,中楼层(共14层) 1989年建板塔结合,2016.01,,,房屋满五年,东城,安贞,简装,有电梯,安华里社区,2室1厅,62.55
东 西,中楼层(共6层) 1987年建板楼,2016.01,,,房屋满五年,东城,安贞,精装,无电梯,安贞西里,2室1厅,56.66
东 西,中楼层(共6层) 1990年建板楼,2016.01,,,近地铁,东城,安贞,其他,无电梯,,,
西南,低楼层(共18层) 1987年建塔楼,2016.01,,,房屋满五年,东城,安贞,简装,有电梯,安华里社区,3室1厅,72.81
南 西 北,中楼层(共18层) 1993年建塔楼,2016.01.01,50207,425,房屋满五年,东城,安贞,简装,有电梯,安华里社区,3室1厅,84.65
西 南,低楼层(共17层) 2005年建塔楼,2016.01,,,房屋满五年,东城,安贞,精装,有电梯,国典华园,2室2厅,104.02
南 北,中楼层(共6层) 2000年建板楼,2016.01,,,房屋满五年,东城,安贞,简装,无电梯,安贞苑50号院,3室2厅,129.1
西 南,高楼层(共11层) 1989年建板塔结合,2016.01,,,房屋满五年,东城,安贞,精装,有电梯,安华西里社区,2室1厅,64.23
东 北,低楼层(共14层) 1992年建板塔结合,2015.12.31,42167,197,房屋满五年,东城,安贞,简装,有电梯,安华里社区,1室1厅,46.72
东南,低楼层(共18层) 1996年建塔楼,2015.12.30,53927,320,房屋满五年,东城,安贞,其他,有电梯,安定路,2室1厅,59.34
东 南,高楼层(共6层) 1987年建板楼,2015.12.29,45535,258,挂牌265万,东城,安贞,其他,无电梯,,,
南,中楼层(共16层) 1986年建板塔结合,2015.12.29,48924,300,房屋满五年,东城,安贞,精装,有电梯,安贞西里,2室1厅,61.32
东,低楼层(共18层) 1996年建塔楼,2015.12.28,48761,305,房屋满五年,东城,安贞,其他,有电梯,安贞里,1室1厅,62.55
南 北,低楼层(共6层) 1986年建板楼,2015.12.28,58647,390,房屋满五年,东城,安贞,精装,无电梯,安华西里社区,3室1厅,66.5
南 西,底层(共6层) 1988年建板楼,2015.12.28,57434,350,房屋满五年,东城,安贞,简装,无电梯,安华里社区,3室1厅,60.94
北,低楼层(共16层) 1987年建塔楼,2015.12.27,43055,168,房屋满两年,东城,安贞,精装,有电梯,安贞西里,1室1厅,39.02
东 西,中楼层(共16层) 1992年建板塔结合,2015.12.27,43566,305,房屋满五年,东城,安贞,精装,有电梯,安华西里社区,2室1厅,70.01
东,低楼层(共14层) 1994年建板塔结合,2015.12.27,42160,189,房屋满五年,东城,安贞,精装,有电梯,安华里社区,1室1厅,44.83
东南,顶层(共6层) 1993年建板楼,2015.12.27,44149,252,房屋满五年,东城,安贞,精装,无电梯,兴化路2号院,2室1厅,57.08
南 北,顶层(共6层) 1986年建板楼,2015.12.27,42759,248,房屋满五年,东城,安贞,精装,无电梯,,,
东,顶层(共16层) 1986年建塔楼,2015.12.26,44903,244,房屋满五年,东城,安贞,简装,有电梯,安华里社区,2室1厅,54.34
南 北,中楼层(共6层) 1985年建板楼,2015.12.26,55760,350,房屋满五年,东城,安贞,精装,无电梯,安贞里,2室1厅,62.77
